Latitude,Longitude,Stop Name,Stop Status
40.611478,-74.009632,86 ST/15 AV,at stop
40.601641,-73.993317,86 ST/BAY PY,approaching
40.577346,-73.953946,BRIGHTON BEACH AV/CORBIN PL,approaching
40.578156,-73.940766,ORIENTAL BL/MACKENZIE ST,approaching
40.592054,-73.977474,86 ST/W 7 ST,approaching
40.607416,-74.002908,86 ST/18 AV,approaching
40.606369,-74.00118,86 ST/19 AV,approaching
40.577834,-73.956279,BRIGHTON BEACH AV/BRIGHTON 14 ST,approaching
40.576785,-73.965288,BRIGHTON BEACH AV/BRIGHTON 1 PL,approaching
40.577967,-73.956715,BRIGHTON BEACH AV/BRIGHTON 14 ST,approaching
40.622341,-74.028536,86 ST/4 AV,approaching
40.610491,-74.007996,86 ST/15 AV,< 1 stop away
40.586815,-73.966117,OCEAN PKY/SHORE PKY,< 1 stop away
